supplier_product_id,supplier_id,sku_id,supplier_product_code,supplier_product_name,supplier_description,supplier_base_uom,pack_size,pack_size_uom,conversion_factor,conversion_source,mapping_status,mapping_type,mapping_confidence
SP-049,SUP-002,SKU-026,B-026,FP Item 026,S-PLY-5-FP-026 – CorruCore Packaging Ltd grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.7
SP-050,SUP-002,SKU-028,B-028,FW Item 028,UV-RES-FW-028 – CorruCore Packaging Ltd grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.78
SP-051,SUP-002,SKU-030,B-030,SS Item 030,EK-31-SS-030 – CorruCore Packaging Ltd grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.93
SP-052,SUP-002,SKU-031,B-031,CB Item 031,S-PLY-3-CB-031 – CorruCore Packaging Ltd grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.77
SP-053,SUP-002,SKU-033,B-033,ST Item 033,FB-38-ST-033 – CorruCore Packaging Ltd grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.64
SP-054,SUP-002,SKU-035,B-035,LP Item 035,HS-WRAP-LP-035 – CorruCore Packaging Ltd grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.89
SP-055,SUP-002,SKU-036,B-036,SS Item 036,EK-31-SS-036 – CorruCore Packaging Ltd grade,BAG,1.0,BAG,1.0,MASTER,UNRESOLVED,DIRECT,0.65
SP-056,SUP-002,SKU-038,B-038,FP Item 038,S-PLY-5-FP-038 – CorruCore Packaging Ltd grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.78
SP-057,SUP-002,SKU-040,B-040,FW Item 040,UV-RES-FW-040 – CorruCore Packaging Ltd grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.75
SP-058,SUP-002,SKU-041,B-041,LP Item 041,HS-WRAP-LP-041 – CorruCore Packaging Ltd grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.81
SP-059,SUP-002,SKU-043,B-043,CB Item 043,S-PLY-3-CB-043 – CorruCore Packaging Ltd grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.67
SP-060,SUP-002,SKU-045,B-045,ST Item 045,FB-38-ST-045 – CorruCore Packaging Ltd grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.97
SP-061,SUP-002,SKU-046,B-046,FW Item 046,UV-RES-FW-046 – CorruCore Packaging Ltd grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.93
SP-062,SUP-002,SKU-048,B-048,SS Item 048,EK-31-SS-048 – CorruCore Packaging Ltd grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.83
SP-063,SUP-002,SKU-017,B-017,LP Item 017,HS-WRAP-LP-017 – CorruCore Packaging Ltd grade,CARTON,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.73
SP-064,SUP-002,SKU-019,B-019,CB Item 019,S-PLY-3-CB-019 – CorruCore Packaging Ltd grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.77
SP-065,SUP-003,SKU-002,C-002,FP Item 002,S-PLY-5-FP-002 – GlobalBox Trading Co grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.72
SP-066,SUP-003,SKU-003,C-003,ST Item 003,FB-38-ST-003 – GlobalBox Trading Co grade,CARTON,200.0,buyer units,200.0,MASTER,AI_SUGGESTED,DIRECT,0.77
SP-067,SUP-003,SKU-005,C-005,LP Item 005,HS-WRAP-LP-005 – GlobalBox Trading Co grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.81
SP-068,SUP-003,SKU-006,C-006,SS Item 006,EK-31-SS-006 – GlobalBox Trading Co grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.9
SP-069,SUP-003,SKU-007,C-007,CB Item 007,S-PLY-3-CB-007 – GlobalBox Trading Co grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.66
SP-070,SUP-003,SKU-008,C-008,FP Item 008,S-PLY-5-FP-008 – GlobalBox Trading Co grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.97
SP-071,SUP-003,SKU-010,C-010,FW Item 010,UV-RES-FW-010 – GlobalBox Trading Co grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.96
SP-072,SUP-003,SKU-011,C-011,LP Item 011,HS-WRAP-LP-011 – GlobalBox Trading Co grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.82
SP-073,SUP-003,SKU-013,C-013,CB Item 013,S-PLY-3-CB-013 – GlobalBox Trading Co grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.83
SP-074,SUP-003,SKU-015,C-015,ST Item 015,FB-38-ST-015 – GlobalBox Trading Co grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.65
SP-075,SUP-003,SKU-016,C-016,FW Item 016,UV-RES-FW-016 – GlobalBox Trading Co grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.7
SP-076,SUP-003,SKU-018,C-018,SS Item 018,EK-31-SS-018 – GlobalBox Trading Co grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.64
SP-077,SUP-003,SKU-020,C-020,FP Item 020,S-PLY-5-FP-020 – GlobalBox Trading Co grade,BOX,50.0,buyer units,50.0,MASTER,AI_SUGGESTED,DIRECT,0.66
SP-078,SUP-003,SKU-021,C-021,ST Item 021,FB-38-ST-021 – GlobalBox Trading Co grade,CARTON,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.89
SP-079,SUP-003,SKU-023,C-023,LP Item 023,HS-WRAP-LP-023 – GlobalBox Trading Co grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.7
SP-080,SUP-003,SKU-025,C-025,CB Item 025,S-PLY-3-CB-025 – GlobalBox Trading Co grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.88
SP-081,SUP-003,SKU-026,C-026,FP Item 026,S-PLY-5-FP-026 – GlobalBox Trading Co grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.92
SP-082,SUP-003,SKU-028,C-028,FW Item 028,UV-RES-FW-028 – GlobalBox Trading Co grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.78
SP-083,SUP-003,SKU-030,C-030,SS Item 030,EK-31-SS-030 – GlobalBox Trading Co grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.88
SP-084,SUP-003,SKU-031,C-031,CB Item 031,S-PLY-3-CB-031 – GlobalBox Trading Co grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.84
SP-085,SUP-003,SKU-033,C-033,ST Item 033,FB-38-ST-033 – GlobalBox Trading Co grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.86
SP-086,SUP-003,SKU-035,C-035,LP Item 035,HS-WRAP-LP-035 – GlobalBox Trading Co grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.84
SP-087,SUP-003,SKU-036,C-036,SS Item 036,EK-31-SS-036 – GlobalBox Trading Co grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.86
SP-088,SUP-003,SKU-038,C-038,FP Item 038,S-PLY-5-FP-038 – GlobalBox Trading Co grade,BOX,500.0,buyer units,500.0,MASTER,AI_SUGGESTED,DIRECT,0.68
SP-089,SUP-003,SKU-040,C-040,FW Item 040,UV-RES-FW-040 – GlobalBox Trading Co grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,1.0
SP-090,SUP-003,SKU-041,C-041,LP Item 041,HS-WRAP-LP-041 – GlobalBox Trading Co grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.7
SP-091,SUP-003,SKU-043,C-043,CB Item 043,S-PLY-3-CB-043 – GlobalBox Trading Co grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.67
SP-092,SUP-003,SKU-045,C-045,ST Item 045,FB-38-ST-045 – GlobalBox Trading Co grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.71
SP-093,SUP-003,SKU-046,C-046,FW Item 046,UV-RES-FW-046 – GlobalBox Trading Co grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.93
SP-094,SUP-003,SKU-048,C-048,SS Item 048,EK-31-SS-048 – GlobalBox Trading Co grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.99
SP-095,SUP-003,SKU-029,C-029,LP Item 029,HS-WRAP-LP-029 – GlobalBox Trading Co grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,1.0
SP-096,SUP-003,SKU-032,C-032,FP Item 032,S-PLY-5-FP-032 – GlobalBox Trading Co grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.67
SP-097,SUP-004,SKU-002,D-002,FP Item 002,S-PLY-5-FP-002 – SwiftBox Crafts grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.77
SP-098,SUP-004,SKU-003,D-003,ST Item 003,FB-38-ST-003 – SwiftBox Crafts grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.91
SP-099,SUP-004,SKU-005,D-005,LP Item 005,HS-WRAP-LP-005 – SwiftBox Crafts grade,CARTON,100.0,buyer units,100.0,MASTER,AI_SUGGESTED,DIRECT,0.66
SP-100,SUP-004,SKU-006,D-006,SS Item 006,EK-31-SS-006 – SwiftBox Crafts grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.78
SP-101,SUP-004,SKU-007,D-007,CB Item 007,S-PLY-3-CB-007 – SwiftBox Crafts grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.84
SP-102,SUP-004,SKU-008,D-008,FP Item 008,S-PLY-5-FP-008 – SwiftBox Crafts grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.72
SP-103,SUP-004,SKU-010,D-010,FW Item 010,UV-RES-FW-010 – SwiftBox Crafts grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.73
SP-104,SUP-004,SKU-011,D-011,LP Item 011,HS-WRAP-LP-011 – SwiftBox Crafts grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.8
SP-105,SUP-004,SKU-013,D-013,CB Item 013,S-PLY-3-CB-013 – SwiftBox Crafts grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.67
SP-106,SUP-004,SKU-015,D-015,ST Item 015,FB-38-ST-015 – SwiftBox Crafts grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.96
SP-107,SUP-004,SKU-016,D-016,FW Item 016,UV-RES-FW-016 – SwiftBox Crafts grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.8
SP-108,SUP-004,SKU-018,D-018,SS Item 018,EK-31-SS-018 – SwiftBox Crafts grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.68
SP-109,SUP-004,SKU-020,D-020,FP Item 020,S-PLY-5-FP-020 – SwiftBox Crafts grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.81
SP-110,SUP-004,SKU-021,D-021,ST Item 021,FB-38-ST-021 – SwiftBox Crafts grade,BOX,25.0,buyer units,25.0,MASTER,UNRESOLVED,DIRECT,0.76
SP-111,SUP-004,SKU-023,D-023,LP Item 023,HS-WRAP-LP-023 – SwiftBox Crafts grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.86
SP-112,SUP-004,SKU-025,D-025,CB Item 025,S-PLY-3-CB-025 – SwiftBox Crafts grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.65
SP-113,SUP-004,SKU-026,D-026,FP Item 026,S-PLY-5-FP-026 – SwiftBox Crafts grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.76
SP-114,SUP-004,SKU-028,D-028,FW Item 028,UV-RES-FW-028 – SwiftBox Crafts grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.65
SP-115,SUP-004,SKU-030,D-030,SS Item 030,EK-31-SS-030 – SwiftBox Crafts grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.85
SP-116,SUP-004,SKU-031,D-031,CB Item 031,S-PLY-3-CB-031 – SwiftBox Crafts grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.81
SP-117,SUP-004,SKU-033,D-033,ST Item 033,FB-38-ST-033 – SwiftBox Crafts grade,CARTON,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.92
SP-118,SUP-004,SKU-035,D-035,LP Item 035,HS-WRAP-LP-035 – SwiftBox Crafts grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.86
SP-119,SUP-004,SKU-036,D-036,SS Item 036,EK-31-SS-036 – SwiftBox Crafts grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.82
SP-120,SUP-004,SKU-038,D-038,FP Item 038,S-PLY-5-FP-038 – SwiftBox Crafts grade,CARTON,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.86
SP-121,SUP-004,SKU-040,D-040,FW Item 040,UV-RES-FW-040 – SwiftBox Crafts grade,REEL,12.0,buyer units,12.0,MASTER,AI_SUGGESTED,DIRECT,0.74
SP-122,SUP-004,SKU-041,D-041,LP Item 041,HS-WRAP-LP-041 – SwiftBox Crafts grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.82
SP-123,SUP-004,SKU-043,D-043,CB Item 043,S-PLY-3-CB-043 – SwiftBox Crafts grade,CARTON,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.77
SP-124,SUP-004,SKU-045,D-045,ST Item 045,FB-38-ST-045 – SwiftBox Crafts grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.79
SP-125,SUP-004,SKU-046,D-046,FW Item 046,UV-RES-FW-046 – SwiftBox Crafts grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.78
SP-126,SUP-004,SKU-048,D-048,SS Item 048,EK-31-SS-048 – SwiftBox Crafts grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.62
SP-127,SUP-004,SKU-042,D-042,SS Item 042,EK-31-SS-042 – SwiftBox Crafts grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.7
SP-128,SUP-004,SKU-044,D-044,FP Item 044,S-PLY-5-FP-044 – SwiftBox Crafts grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.84
SP-129,SUP-005,SKU-002,E-002,FP Item 002,S-PLY-5-FP-002 – EcoPack Solutions grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.67
SP-130,SUP-005,SKU-003,E-003,ST Item 003,FB-38-ST-003 – EcoPack Solutions grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.76
SP-131,SUP-005,SKU-005,E-005,LP Item 005,HS-WRAP-LP-005 – EcoPack Solutions grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.93
SP-132,SUP-005,SKU-006,E-006,SS Item 006,EK-31-SS-006 – EcoPack Solutions grade,BAG,1.0,BAG,1.0,MASTER,AI_SUGGESTED,DIRECT,0.8
SP-133,SUP-005,SKU-007,E-007,CB Item 007,S-PLY-3-CB-007 – EcoPack Solutions grade,BOX,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.91
SP-134,SUP-005,SKU-008,E-008,FP Item 008,S-PLY-5-FP-008 – EcoPack Solutions grade,BOX,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.74
SP-135,SUP-005,SKU-010,E-010,FW Item 010,UV-RES-FW-010 – EcoPack Solutions grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.62
SP-136,SUP-005,SKU-011,E-011,LP Item 011,HS-WRAP-LP-011 – EcoPack Solutions grade,BOX,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.79
SP-137,SUP-005,SKU-013,E-013,CB Item 013,S-PLY-3-CB-013 – EcoPack Solutions grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.91
SP-138,SUP-005,SKU-015,E-015,ST Item 015,FB-38-ST-015 – EcoPack Solutions grade,CARTON,500.0,buyer units,500.0,MASTER,CONFIRMED,DIRECT,0.8
SP-139,SUP-005,SKU-016,E-016,FW Item 016,UV-RES-FW-016 – EcoPack Solutions grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.76
SP-140,SUP-005,SKU-018,E-018,SS Item 018,EK-31-SS-018 – EcoPack Solutions grade,BAG,1.0,BAG,1.0,MASTER,CONFIRMED,DIRECT,0.95
SP-141,SUP-005,SKU-020,E-020,FP Item 020,S-PLY-5-FP-020 – EcoPack Solutions grade,CARTON,200.0,buyer units,200.0,MASTER,CONFIRMED,DIRECT,0.76
SP-142,SUP-005,SKU-021,E-021,ST Item 021,FB-38-ST-021 – EcoPack Solutions grade,BOX,50.0,buyer units,50.0,MASTER,CONFIRMED,DIRECT,0.97
SP-143,SUP-005,SKU-023,E-023,LP Item 023,HS-WRAP-LP-023 – EcoPack Solutions grade,BOX,500.0,buyer units,500.0,MASTER,AI_SUGGESTED,DIRECT,0.9
SP-144,SUP-005,SKU-025,E-025,CB Item 025,S-PLY-3-CB-025 – EcoPack Solutions grade,CARTON,100.0,buyer units,100.0,MASTER,CONFIRMED,DIRECT,0.69
SP-145,SUP-005,SKU-026,E-026,FP Item 026,S-PLY-5-FP-026 – EcoPack Solutions grade,BOX,25.0,buyer units,25.0,MASTER,CONFIRMED,DIRECT,0.86
SP-146,SUP-005,SKU-028,E-028,FW Item 028,UV-RES-FW-028 – EcoPack Solutions grade,REEL,12.0,buyer units,12.0,MASTER,CONFIRMED,DIRECT,0.87
